Component,Explained Variance Ratio,Cumulative Variance
370,0.000922312467719406,0.4544177626852121
371,0.000920853438048603,0.4553386161232607
372,0.0009205214666144216,0.45625913758987513
373,0.0009191670473198848,0.457178304637195
374,0.0009180589221150802,0.4580963635593101
375,0.0009169937955211898,0.4590133573548313
376,0.0009161093973827676,0.4599294667522141
377,0.0009152829506763716,0.46084474970289047
378,0.000913536354828592,0.46175828605771907
379,0.0009119721110408318,0.4626702581687599
380,0.0009117502071555033,0.4635820083759154
381,0.0009095182038563411,0.4644915265797717
382,0.0009086029452671306,0.46540012952503884
383,0.0009075026983499092,0.4663076322233887
384,0.0009064973902284247,0.46721412961361714
385,0.000905258400473979,0.4681193880140911
386,0.000901538651914819,0.4690209266660059
387,0.0009009289024993413,0.46992185556850524
388,0.0008990338520876953,0.4708208894205929
389,0.0008987520385980859,0.471719641459191
390,0.0008978198385953098,0.4726174612977863
391,0.000896967848480693,0.473514429146267
392,0.0008947987041092145,0.4744092278503762
393,0.0008937214935237227,0.47530294934389994
394,0.0008923565248507624,0.4761953058687507
395,0.0008914107014292121,0.4770867165701799
396,0.0008895324603399543,0.4779762490305199
397,0.0008884792367420928,0.47886472826726195
398,0.000887194010332308,0.4797519222775943
399,0.0008850556847448184,0.4806369779623391
400,0.0008833621291260045,0.4815203400914651
401,0.0008820404647980943,0.4824023805562632
402,0.0008812284994958325,0.48328360905575907
403,0.0008785000466976543,0.4841621091024567
404,0.0008768817239775855,0.4850389908264343
405,0.0008750827158152198,0.4859140735422495
406,0.0008740330919142454,0.4867881066341638
407,0.000872391038476577,0.48766049767264036
408,0.0008712386031138989,0.48853173627575425
409,0.0008701678360092918,0.48940190411176354
410,0.0008693966454785075,0.49027130075724207
411,0.0008681985783589005,0.49113949933560097
412,0.0008671241235876273,0.4920066234591886
413,0.0008658765552513982,0.49287250001444
414,0.0008644758333832673,0.4937369758478233
415,0.0008636874920478363,0.4946006633398711
416,0.0008617125857190948,0.4954623759255902
417,0.0008611711196865199,0.49632354704527676
418,0.0008589429209055579,0.4971824899661823
419,0.0008576322904367068,0.49804012225661903
